product_id,state,crop,problem,product,active_ingredient,formulation,concentration,dose,water,application_method,verification_status,missing_evidence
KA-RAGI-TRICYCLAZOLE-01,Karnataka,Ragi,Blast / neck blast,Tricyclazole 75% WP,Tricyclazole,WP,75%,"0.6 g/L; 120-160 g/acre",200 L/acre,Foliar spray,needs_verification,"Current label URL/photo; crop/target approval; PHI; dated price"
KA-SUGARCANE-CARBENDAZIM-01,Karnataka,Sugarcane,Red rot / sett rot,Carbendazim 50% WP,Carbendazim,WP,50%,1 g/L dip solution,Sufficient to immerse setts,Sett dip before planting,needs_verification,"Current label; dip duration; crop/target approval; dated price"
KA-SUGARCANE-CHLORANTRANILIPROLE-01,Karnataka,Sugarcane,Early shoot/top borer,Chlorantraniliprole 18.5% SC,Chlorantraniliprole,SC,18.5%,150 ml/acre,200-250 L/acre,Foliar spray,needs_verification,"Current label; crop/target approval; PHI; dated price"
KA-RICE-TRICYCLAZOLE-01,Karnataka,Rice,Blast,Tricyclazole 75% WP,Tricyclazole,WP,75%,"0.6 g/L or 120-160 g/acre",200 L/acre,Foliar spray,needs_verification,"Current label; rice approval; PHI; dated price"
KL-RUBBER-BORDEAUX-01,Kerala,Natural rubber,Abnormal leaf fall,Bordeaux mixture 1%,Copper sulphate plus lime,Mixture,1%,"1% solution",400-600 L/acre,Foliar/canopy spray,needs_verification,"Rubber Board/KAU current guidance; tapping restriction; dated input prices"
KL-COCONUT-COPPER-01,Kerala,Coconut,Bud rot / leaf rot,Copper Oxychloride 50% WP,Copper Oxychloride,WP,50%,3 g/L,1-2 L/palm,Crown application,needs_verification,"Current label; coconut approval; volume per palm; climbing safety; dated price"
KL-PEPPER-TRICHODERMA-01,Kerala,Black pepper,Foot rot preventive,Trichoderma harzianum enriched FYM,Trichoderma harzianum,FYM/talc,Product-specific,"1 kg/vine illustrative",Not applicable,Soil application,needs_verification,"Product CFU label; approved rate; dated price"
KL-PEPPER-METALAXYL-01,Kerala,Black pepper,Foot rot curative,Metalaxyl 8% + Mancozeb 64% WP,Metalaxyl plus Mancozeb,WP,8% + 64%,"2.5 g/L illustrative",0.5-1 L/vine,Drench,needs_verification,"Current black-pepper label; exact dose; PHI; dated price"
TN-BANANA-PROPICONAZOLE-01,Tamil Nadu,Banana,Leaf spot / Sigatoka,Propiconazole 25% EC,Propiconazole,EC,25%,"1 ml/L illustrative",200-300 L/acre,Foliar spray,needs_verification,"Current banana label; dose; PHI; dated price"
TN-BANANA-CARBENDAZIM-01,Tamil Nadu,Banana,Fusarium wilt context,Carbendazim 50% WP,Carbendazim,WP,50%,Not confirmed,Small volume per plant,Pseudostem injection,needs_verification,"Current TNAU protocol; legal injection method; dose; PHI"
TN-ONION-MANCOZEB-01,Tamil Nadu,Onion,Leaf blight / purple blotch,Mancozeb 75% WP,Mancozeb,WP,75%,2.5 g/L illustrative,200 L/acre,Foliar spray,needs_verification,"Current onion label; dose; PHI; dated price"
TN-ONION-FIPRONIL-01,Tamil Nadu,Onion,Thrips,Fipronil 5% SC,Fipronil,SC,5%,1.5 ml/L illustrative,200 L/acre,Foliar spray,needs_verification,"Current onion label; dose; PHI; pollinator restrictions; dated price"
TN-RICE-CHLORANTRANILIPROLE-01,Tamil Nadu,Rice,Yellow stem borer,Chlorantraniliprole 18.5% SC,Chlorantraniliprole,SC,18.5%,60-150 ml/acre illustrative,200-400 L/acre,Foliar or granular per label,needs_verification,"Current rice label; exact dose; PHI; dated price"
