state,crop,target_problem,product_or_treatment,active_ingredient,formulation,dose,water_or_application,waiting_period_days,safety_notes,source,verification_status
Karnataka,Ragi,Blast,"Trichoderma viride seed treatment",Trichoderma viride,biocontrol,"4 g/kg seed","Seed treatment before sowing",,"Maintain proper spacing and airflow","hackprojectinfo.docx - user-provided agriculture source section",user_provided_needs_verification
Karnataka,Ragi,Blast,"Tricyclazole 75% WP",Tricyclazole,75% WP,"0.6 g/L; approximately 120-160 g/acre","Dilute in 200 L water/acre",30,"Wear gloves, goggles, and face mask. Avoid midday and upwind spraying.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Karnataka,Sugarcane,Red rot,"Carbendazim 50% WP sett dip",Carbendazim,50% WP,"1 g/L","Dip setts for 15 minutes",,"Use the approved label and protective equipment.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Karnataka,Sugarcane,Red rot / borer management,"Chlorantraniliprole 18.5% SC",Chlorantraniliprole,18.5% SC,"150 mL/acre","Dilute in 200-250 L water; soil drenching or foliar spray at 45-60 days",60,"Stir with a wooden stick; avoid bare-hand contact; wash exposed skin.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Karnataka,Rice,Bacterial leaf blight / kresek,"Streptocycline plus Copper Oxychloride 50% WP","Streptomycin sulphate + Tetracycline hydrochloride; Copper Oxychloride",50% WP for copper product,"Streptocycline 0.1 g/L plus Copper Oxychloride 2.5 g/L","20 g Streptocycline plus 500 g Copper Oxychloride in 200 L water/acre",15-20,"Keep livestock out for at least 7 days; store sealed away from heat and sunlight.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Kerala,Natural rubber,Leaf disease,"Bordeaux mixture",Copper sulfate plus quick lime,1% mixture,"10 g Copper Sulfate plus 10 g Quick Lime/L","High-volume foliar spray",,"Use headgear and face shield; suspend latex collection during spraying.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_verification
Kerala,Natural rubber,Leaf disease,"Copper Oxychloride oil dispersion",Copper Oxychloride,oil dispersion,"7-8 L/ha","Oil-dispersion spray",,"Use headgear and face shield; suspend latex collection during spraying.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_verification
Kerala,Coconut,Bud rot,"Bordeaux paste",Copper sulfate plus quick lime,paste,"1% Bordeaux paste","Apply to central growing point after crown cleaning; document states 1-2 L solution/palm for copper oxychloride alternative",14,"Use ladder/climbing harness; avoid active rainfall and runoff.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Kerala,Coconut,Bud rot,"Copper Oxychloride 50% WP",Copper Oxychloride,50% WP,"3 g/L","Pour 1-2 L solution per palm over spear-leaf bases",14,"Use ladder/climbing harness; avoid active rainfall and runoff.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Kerala,Black pepper,Quick wilt / foot rot,"Trichoderma harzianum enriched FYM",Trichoderma harzianum,biocontrol,"5 kg/vine","Apply to soil basin at onset of monsoon",,"Maintain drainage and avoid waterlogging.","hackprojectinfo.docx - user-provided agriculture source section",user_provided_needs_verification
Kerala,Black pepper,Quick wilt / foot rot,"Potassium Phosphonate 40% SL",Potassium phosphonate,40% SL,"3 mL/L","3-5 L drenching per vine plus foliar spray",21-30,"Avoid skin and eye contact; follow label disposal instructions.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Kerala,Black pepper,Quick wilt / foot rot,"Metalaxyl 8% plus Mancozeb 64% WP",Metalaxyl plus Mancozeb,8% + 64% WP,"2 g/L","Basin drenching or spray method must be confirmed from label",21-30,"Avoid skin and eye contact; triple-rinse and puncture empty containers as required.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Tamil Nadu,Banana,Fusarium wilt / Panama disease,"Carbendazim 50% WP pseudostem injection",Carbendazim,50% WP,"2% solution; document states 2 mL injection","Pseudostem injection at 45-degree angle; exact volume per plant must be confirmed",30,"Wear chemical-resistant gloves; confirm label approval for injection method.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Tamil Nadu,Banana,Sigatoka,"Propiconazole 25% EC",Propiconazole,25% EC,"1 mL/L; 200 mL/acre","Dilute in 200 L water/acre with sticker",30,"Wear protective equipment and follow the product label.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
Tamil Nadu,Onion,Purple blotch / thrips,"Mancozeb 75% WP plus Fipronil 5% SC","Mancozeb; Fipronil",75% WP; 5% SC,"Mancozeb 2.5 g/L plus Fipronil 1.5 mL/L plus sticker 1 mL/L","Spray method and mixture compatibility must be confirmed",15-20,"Avoid windy conditions and drift to neighboring crops or water bodies.","hackprojectinfo.docx - user-provided dosage section",user_provided_needs_label_verification
