state,soil_type,region_or_districts,texture_or_properties,ph_or_chemistry,water_behavior,priority_crops,climate_context,dominant_risks,management_signal,source_reference,verification_status
Karnataka,Red soil,"Bengaluru; Kolar; Chikkaballapura; Tumakuru; Ramanagara; Mandya; Mysuru; Chamarajanagar; Chitradurga; Shivamogga","Weathered granite/gneiss; gravelly loam to clay; iron-rich","Acidic to near-neutral; low organic matter and nitrogen claim requires local soil-test validation","Low moisture retention; drought-sensitive","Ragi; millets; pulses; groundnut; irrigated rice/sugarcane","Interior plateau; approximately 500-900 mm annual rainfall in the report","Erratic monsoon; mid-season dry spells; ragi blast risk after humid swings","Use bunding, organic matter, moisture conservation, balanced nutrients, and soil-test-based lime where required","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; Karnataka soil/agro-climate references to be attached",needs_verification
Karnataka,Black soil,"Belagavi; Vijayapura; Kalaburagi; Bidar; Yadgir; Bagalkote; Raichur","Basalt-derived; high clay; Ca/Mg-rich claim","Usually neutral to alkaline; N/P/organic-matter deficiency requires local soil-test validation","High water retention; cracking when dry; waterlogging risk","Sugarcane under irrigation; jowar; cotton; pulses; sunflower","North interior plateau; semi-arid","Waterlogging in wet years; cracking and moisture loss in dry years","Provide drainage, avoid over-irrigation, conserve moisture, and split nutrient applications","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; Karnataka soil/agro-climate references to be attached",needs_verification
Karnataka,Laterite,"Uttara Kannada; Dakshina Kannada; Udupi; Kodagu; parts of Shivamogga and Chikkamagaluru","Strongly weathered and leached; iron/aluminium oxides; porous","Acidic; report gives pH about 5.0-6.0; verify with soil test","Fast drainage; nutrient leaching","Rubber; pepper; coconut; arecanut; coffee; cashew","Western Ghats; high rainfall and humidity","Low N/P/K; leaching; Phytophthora disease pressure","Add organic matter; use soil-test-based lime and split nutrients; maintain drainage","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; KAU/ICAR soil references to be attached",needs_verification
Karnataka,Coastal alluvium,"Dakshina Kannada; Udupi; Uttara Kannada coastal strip","Sedimentary/alluvial; clay and organic matter claim","Fertility varies by site; test salinity, pH, and nutrients","Good retention but drainage and salinity need monitoring","Rice; coconut; banana; arecanut","Coastal humid belt; high monsoon rainfall","Waterlogging; salinity ingress; drainage failure","Use raised beds/bunds where appropriate and monitor EC and water table","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; coastal soil survey source to be attached",needs_verification
Tamil Nadu,Red soil,"Coimbatore; Salem; Tiruchirappalli; Madurai; Sivaganga; Ramanathapuram and interior areas","Granite/metamorphic weathering; low organic matter claim","Often acidic to neutral; verify pH and N status locally","Moderate to low retention; drought exposure","Ragi; millets; pulses; groundnut; vegetables; onion","Interior plateau; approximately 600-900 mm annual rainfall","Drought; disease flush after delayed rainfall","Conserve moisture, add organic matter, and split fertilizer applications","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; Tamil Nadu soil/agro-climate references to be attached",needs_verification
Tamil Nadu,Black soil,"Salem; Dharmapuri; Namakkal; Coimbatore; parts of Madurai","Basalt-derived; clay-rich","Ca/Mg/K-rich claims; N/P status requires soil test","High retention; drainage and cracking risks","Sugarcane under irrigation; pulses; oilseeds","Interior/semi-arid zones","Waterlogging or dry-season cracking","Drain heavy soils and avoid excessive irrigation; use soil-test-based nutrients","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; Tamil Nadu soil/agro-climate references to be attached",needs_verification
Tamil Nadu,Alluvial,"Thanjavur; Tiruvarur; Nagapattinam; Villupuram; Cuddalore; Tirunelveli; Kanyakumari","River-deposited loam/silt; generally fertile but variable","N and organic-matter deficiency claims require soil test; monitor salinity in coastal areas","Usually favorable retention; flood and salinity risk in lowlands","Rice; sugarcane; banana; turmeric","Cauvery delta and east-coast plains; NE monsoon important","Salinity intrusion; flooding; humidity-linked disease","Monitor EC, drainage, and irrigation source; use AWD in rice where appropriate","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; Tamil Nadu soil/agro-climate references to be attached",needs_verification
Tamil Nadu,Laterite,"Kancheepuram; Tiruvallur; Nilgiris hill patches and other local pockets","Leached and low-fertility; porous","Acidic tendency; verify pH and available nutrients","Leaching and low retention","Cashew; coconut; tea; rubber; coffee","Highland/coastal pockets with local variation","Nutrient loss and acidity","Use organic matter, split nutrients, and soil-test-based lime","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; Tamil Nadu soil/agro-climate references to be attached",needs_verification
Tamil Nadu,Saline/coastal,"Coromandel coast including Vedaranyam and other coastal pockets","Salt-affected coastal soil; site-specific texture","High EC/salinity; requires laboratory test","Poor crop performance without reclamation and drainage","Limited until reclaimed","Coastal cyclone and saline-groundwater exposure","Test EC and SAR; improve drainage and use only suitable crops until reclaimed","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; coastal soil survey source to be attached",needs_verification
Kerala,Laterite,"Midland belt across most districts; concentrated in Kozhikode; Kannur; Malappuram; Kasaragod","Strongly leached; iron/aluminium oxides; low CEC claim","Acidic; report gives pH 5.0-6.5; verify with soil test","Fast drainage and nutrient leaching","Coconut; rubber; pepper; arecanut; banana; cashew; tapioca","High rainfall; humid SW and NE monsoons","Low N/P; acidity; Phytophthora pressure","Add organic matter; use soil-test-based lime; maintain drainage and split inputs","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; KAU soil references to be attached",needs_verification
Kerala,Red loam,"Southern Thiruvananthapuram foothills","Iron-rich, friable, kaolinitic","Acidic tendency; local soil test required","Absorbs water but low soluble nutrient reserve","Tapioca; vegetables; minor millets","Southern foothill climate","Nutrient deficiency and erosion","Use organic matter, contour measures, and soil-test-based correction","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; KAU soil references to be attached",needs_verification
Kerala,Forest soil,"Idukki; Wayanad; Palakkad high ranges","Weathered forest soil; relatively higher organic matter claim","Variable; test pH and nutrients before fertilization","Variable drainage by slope and depth","Pepper; rubber; tea; coffee; cardamom","Highland climate; altitude-driven temperature variation","Erosion, waterlogging in pockets, and disease under high humidity","Maintain shade/drainage, protect topsoil, and avoid blanket fertilizer rates","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; KAU/ICAR soil references to be attached",needs_verification
Kerala,Coastal alluvium,"West-coast strip","Marine/alluvial; sandy; low CEC claim","Salinity and nutrient status vary; test EC and pH","Fast permeability and low water holding","Coconut; paddy; cashew; vegetables","Humid coastal climate","Salinity, leaching, and waterlogging","Use organic matter, drainage, and salinity monitoring","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; Kerala coastal soil references to be attached",needs_verification
Kerala,Onattukara alluvium,"Karunagappally; Karthikapally; Mavelikara","Sandy marine deposits; very low nutrient reserve claim","Strongly site-specific; test pH, EC, and nutrients","Poor retention and rapid leaching","Coconut; tapioca; cashew with support","Coastal/sandy belt","Nutrient loss and drought between rains","Frequent split inputs, organic matter, and water conservation","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; KAU soil references to be attached",needs_verification
Kerala,Kuttanad alluvium,"Alappuzha basin, below sea level","Waterlogged acid-sulphate kayal/karappadam/kari soils","Acidity and salinity vary with water management","Persistent waterlogging; flood and salinity exposure","Rice","Below-sea-level farming; monsoon and sea-level sensitivity","Flooding, salinity, acid-sulphate exposure","Use water-control infrastructure, monitor EC/pH, and follow Kuttanad-specific recommendations","Soil_Climate_Intelligence_Report_KA_TN_KL.docx; KAU/Kuttanad references to be attached",needs_verification
