state_scope,crop,problem,field_confirmation,diagnostic_test,differential_diagnosis,unlock_rule,status
Karnataka,Ragi,Blast / neck blast,"Spindle or diamond lesions with grey centres; neck blackening and premature head drying","Microscopic confirmation of characteristic conidia where available","Brown spot and Helminthosporium blight have different lesion shape","Do not unlock chemical advice without matching field sign or expert confirmation",needs_verification
Karnataka,Sugarcane,Red rot,"Red internal stalk tissue with white crosswise patches and sour odour","Stalk splitting; laboratory confirmation if needed","Wilt lacks characteristic white patches; smut has black whip","Confirm internal stalk sign before treatment",needs_verification
Karnataka,Rice,Bacterial leaf blight / blast complex,"Water-soaked wavy marginal stripes and possible morning ooze; blast has spindle lesions","Bacterial ooze test or expert diagnosis","Drought scorch and blast differ in margin/lesion pattern","Require diagnosis before bactericide or fungicide advice",needs_verification
Kerala,Natural rubber,Abnormal leaf fall,"Petiole lesions with coagulated latex and monsoon leaf casting","Hand-lens petiole inspection; laboratory confirmation if needed","Powdery mildew and Corynespora have different signs","Require field confirmation before spray advice",needs_verification
Kerala,Coconut,Bud rot vs root wilt,"Spindle detachment and foul rot for bud rot; flaccid ribbed leaflets for root wilt","Spindle traction and expert examination","Stem bleeding and beetle injury differ","Do not use bud-rot treatment for root wilt without diagnosis",needs_verification
Kerala,Black pepper,Foot rot / quick wilt,"Sudden wilt with black collar rot","Collar inspection and laboratory confirmation if needed","Slow wilt and anthracnose differ in speed and lesion location","Require collar sign before curative drench",needs_verification
Tamil Nadu,Banana,Rhizome weevil vs Panama wilt,"Frass-filled corm tunnels versus continuous vascular discoloration","Corm cross-section inspection","Nematodes cause root lesions without central corm tunnels","Require destructive diagnostic check before treatment",needs_verification
Tamil Nadu,Onion,Thrips / purple blotch complex,"Silvery streaks plus purple lesions and dark sporulation","Tap test and lesion examination","Downy mildew and Stemphylium differ in lesion/spore appearance","Require pest/disease distinction before chemical choice",needs_verification
Tamil Nadu,Rice,Yellow stem borer,"Dead heart or white ear with bore holes and frass","Stem splitting","Gall midge causes silver shoots; blast causes drooping black neck","Use threshold-based chemical unlock",needs_verification
"Karnataka; Tamil Nadu; Kerala",Tomato,Early blight,"Target-like concentric rings on lower leaves","Field image/plant pathology confirmation","Late blight, Septoria, bacterial spot","Require target-ring match or expert confirmation",needs_verification
"Karnataka; Tamil Nadu; Punjab",Potato,Late blight,"Rapid wet dark lesions and white underside growth","Field inspection or laboratory confirmation","Early blight, frost/chemical injury, bacterial wilt","Require late-blight pattern before chemical advice",needs_verification
