record_id,state,districts,block_or_taluk,agro_climatic_zone,crop,scientific_name,crop_problem,major_soil_type,local_soil_name,soil_subtype,texture,soil_depth,slope,drainage,water_holding_capacity,sample_depth_cm,soil_test_date,testing_laboratory,ph,ec_ds_m,organic_carbon_pct,available_n_kg_ha,available_p_kg_ha,available_k_kg_ha,other_observations,crop_suitability,soil_or_climate_risk,early_warning_indicator,non_chemical_action,annual_rainfall_mm,main_rainfall_season,temperature_c,relative_humidity_pct,drought_risk,waterlogging_risk,salinity_risk,source_title,source_organization,source_url,publication_or_update_year,source_section,verification_status,notes
KA-RAGI-01,Karnataka,"Tumakuru; Kolar; Chikkaballapura; Ramanagara; Mandya; Bengaluru Rural",,"Eastern Dry Zone and Southern Dry Zone",Ragi,Eleusine coracana,"Blast / neck blast (Magnaporthe grisea)",Red soil,Kempu mannu,Typic Rhodustalfs / Typic Kanhaplustalfs,"Sandy loam; loam; red soil",50-100 cm,1-3%,Good,Low (80-120 mm/m),0-15,2023,UAS GKVK Bengaluru,5.5-6.5,0.12,0.35,180,14.5,165,"Sulphur 8.5 mg/kg; zinc 0.52 mg/kg; boron 0.38 mg/kg; low organic matter and nitrogen",Yes,"Rapid drying, low organic buffer, low silica and potassium, dry spell followed by humid weather","Soil moisture below 30% available water capacity for more than 7 days followed by RH above 85%; spindle lesions","Avoid nitrogen top-dressing during dry or high-dew periods; conserve moisture; use resistant varieties",650-850,"Southwest monsoon; some northeast monsoon",18-34,"35-45 dry season; 75-92 wet season",High,Low,Low,"Soil and Climate Data: Karnataka Master Record","UAS Bengaluru; UAS Dharwad; NBSS&LUP; ICAR-CRIDA",https://uasbangalore.edu.in,2022-2025,"Ragi regional identification, soil classification, laboratory values, and crop-problem risk",team_document_needs_independent_verification,"The document claims verification but does not provide a direct page-level source or complete nutrient units."
KA-SUGARCANE-01,Karnataka,"Belagavi; Bagalkote; Vijayapura",,"Northern Dry Zone (Zone 3)",Sugarcane,Saccharum officinarum,"Red rot (Colletotrichum falcatum) / early shoot borer (Chilo infuscatellus)",Deep black soil (Vertisol),Kari mannu / Eremannu,Typic Haplusterts,Clay; black soil,>100 cm,0-1%,Poor,High (>200 mm/m),0-30,2024,Agricultural Research Station Gangavathi / Mudhol,8.2,1.8,0.42,165,11.2,480,"Sulphur 14 mg/kg; zinc 0.45 mg/kg; iron 3.8 mg/kg; high calcium and magnesium",Conditionally suitable,"Subsurface compaction, waterlogging, salinity build-up, high clay shrink-swell","Standing water for more than 48 hours; EC above 2 dS/m with saturated soil; crown-leaf yellowing and midrib reddening","Improve drainage; rogue infected stools; use clean treated seed cane; avoid uninterrupted flood irrigation",550-750,"Southwest monsoon with October cyclonic showers",15-41,"25-40 dry season; 70-85 wet season",Medium,High,High,"Soil and Climate Data: Karnataka Master Record","UAS Bengaluru; UAS Dharwad; NBSS&LUP; ICAR-CRIDA",https://uasbangalore.edu.in,2022-2025,"Sugarcane regional identification, soil classification, laboratory values, and crop-problem risk",team_document_needs_independent_verification,"Gypsum and exact amendment rates require a current soil test and exchangeable sodium data."
KA-RICE-01,Karnataka,"Dakshina Kannada; Udupi; Shivamogga",,"Coastal Zone (Zone 10) and Hilly Zone (Zone 9)",Rice,Oryza sativa,"Blast (Magnaporthe oryzae) / bacterial leaf blight (Xanthomonas oryzae pv. oryzae)",Coastal alluvium / lateritic clay loam,Gajni / Bettu lands,Oxyaquic Dystrustepts / Plinthustults,"Sandy loam; clay loam; laterite; alluvial",>100 cm,Flat valley floor,Poor to moderate,Medium,0-15,2024,KVK Brahmavar Udupi,4.8-5.4,0.35,0.85,260,8.2,115,"Sulphur 16 mg/kg; zinc 0.48 mg/kg; iron 125 mg/kg; calcium and magnesium deficient",Yes,"Extreme acidity, phosphorus fixation, iron toxicity, excess nitrogen, deep standing water","Rainfall above 100 mm in 3 days; RH above 90% for 48 hours; urea top-dressing during overcast weather","Drain excess water; stop nitrogen top-dressing during risk weather; use tolerant lines and managed ponding",3200-4200,Southwest monsoon (June-September),21-34,"65-75 dry season; 85-98 wet season",Low,High,Medium,"Soil and Climate Data: Karnataka Master Record","UAS Bengaluru; Directorate of Agriculture, Government of Karnataka",https://uasbangalore.edu.in,2022-2025,"Rice regional identification, soil classification, laboratory values, and crop-problem risk",team_document_needs_independent_verification,"The document lists lime and nutrient actions but does not provide page-level evidence for the exact rates."
KA-POTATO-01,Karnataka,"Hassan; Chikkamagaluru",Hassan / Belur / Alur,"Southern Transition Zone (Zone 7) and Hill Zone (Zone 9)",Potato,Solanum tuberosum,"Late blight (Phytophthora infestans)",Red sandy clay loam to gravelly red loam,Kempu jigatu mannu,Oxic Haplustalfs,"Sandy loam; clay loam; red soil",60-90 cm,2-4%,Moderate to good,Medium (110-140 mm/m),0-20,2024,Hassan District Soil Testing Lab,5.2-5.8,0.15,0.48,210,22,190,"Sulphur 9.2 mg/kg; zinc 0.58 mg/kg; boron 0.42 mg/kg",Yes,"Waterlogged ridges, excess urea, cool humid blight weather","Minimum temperature 12-15 C and RH above 85% for 48 hours; water stagnation; water-soaked lesions","High ridges; deep earthing-up; dehaulm before harvest when indicated; resistant varieties",950-1400,Southwest monsoon (June-September),14-29,"40-50 dry season; 85-98 wet season",Low to medium,Medium,Low,"Soil and Climate Data: Karnataka Master Record","UAS Bengaluru; ICAR-CPRI sub-station",https://uasbangalore.edu.in,2022-2025,"Potato regional identification, soil classification, laboratory values, and crop-problem risk",team_document_needs_independent_verification,"Exact source page and direct CPRI reference are not supplied in the document."
KL-RUBBER-01,Kerala,"Kottayam; Pathanamthitta; Ernakulam; Thrissur; Kannur",,"Central and Southern Midland",Rubber,Hevea brasiliensis,"Abnormal leaf fall (Phytophthora meadii / P. palmivora)",Laterite soil,Vettukallu mannu,Plinthohumults / Typic Kandiustults,"Clay loam; laterite; gravelly clay",>100 cm,5-15%,Good to excessively drained; poor in compact depressions,Low,0-30,Baseline regional plantation survey,RRII Soil Testing Laboratory Kottayam,4.6-5.2,0.08,0.72,215,6.4,92,"Sulphur 7.8 mg/kg; zinc 0.42 mg/kg; boron 0.28 mg/kg; calcium and magnesium deficient; iron 145 mg/kg",Yes,"Poor drainage, high humidity, continuous rain, low potassium","Rain with sunshine below 2 hours/day for 5 days; RH above 92% at 22-25 C; rotting pods","Maintain drains and airflow; use tolerant clones; retain leaf litter and contour measures",2600-3800,"Southwest monsoon about 65%; northeast monsoon about 25%",21-34,"60-70 dry season; 88-98 wet season",Low to medium,High,Low,"Soil and Climate Data: Kerala Master Record","KAU; ICAR-IISR; ICAR-CPCRI; Rubber Board / RRII",https://kau.in,2016-2024,"Rubber regional identification, soil classification, laboratory values, crop-problem risk, and climate",team_document_needs_independent_verification,"The document includes chemical prophylaxis claims; these remain outside app-ready recommendations until label and source verification."
KL-COCONUT-01,Kerala,"Alappuzha; Kozhikode; Malappuram; Kollam",,"Onattukara Sandy Plain and Coastal Alluvial Zone",Coconut,Cocos nucifera,"Bud rot (Phytophthora palmivora) / root wilt",Coastal alluvial / lowland sandy alluvium,Manal mannu / Theera Theshathu mannu,Arenic Udipsamments / Typic Tropaquepts,"Sandy; sandy loam; alluvial",>150 cm,0-1%,Poor with fluctuating water table to excessively drained surface sands,Low,0-50,2024,RARS Kumarakom,5.0-5.8,0.65,0.28,135,9.5,75,"EC may reach 3.5 dS/m in tidal backflow; sulphur, zinc, boron, calcium, and magnesium deficient",Yes with high management,"Waterlogging, low organic carbon, low potassium, calcium and magnesium deficiency, salinity intrusion","Water stagnation over 72 hours; rainfall above 50 mm/day and RH above 90% for 3 days; damaged spindle leaf","Clear crown debris; maintain drainage; use raised or bunded planting and organic mulches",2800-3400,"Southwest monsoon June-August; northeast monsoon October-November",22-33,"65-75 dry season; 85-98 wet season",Medium,High,High,"Soil and Climate Data: Kerala Master Record","KAU; ICAR-CPCRI",https://kau.in,2016-2024,"Coconut regional identification, soil classification, laboratory values, crop-problem risk, and climate",team_document_needs_independent_verification,"Any palm-specific lime or irrigation rate needs local soil and water testing."
KL-PEPPER-01,Kerala,"Wayanad; Idukki; Kannur; Kasaragod",,"Highland Zone and Northern Midland",Black pepper,Piper nigrum,"Foot rot / quick wilt (Phytophthora capsici)",Forest loam / laterite,Kadu mannu / Karuppu vettu mannu,Humic Pachic Dystrudepts / Typic Kanhaplohumults,"Loam; clay loam; laterite",>100 cm,>15%,Good on steep slopes; poor where terrace drains clog,Medium,0-20,2024,ICAR-IISR Chelavoor Kozhikode,5.0-5.6,0.10,1.2,290,12,130,"Sulphur 11.2 mg/kg; zinc 0.55 mg/kg; boron 0.30 mg/kg; magnesium deficient",Yes,"Saturated vine collar, heavy acidic soil, high humidity and monsoon rain","Root zone saturated over 48 hours; RH above 90% for 3 days; blackening of lower canopy","Keep water away from vine base; contour drains; prune lower laterals; use organic mulch and biocontrol",2400-4500,"Southwest monsoon dominant with northeast monsoon support",18-32,"50-65 dry season; 90-98 wet season",Low to medium,Medium,Low,"Soil and Climate Data: Kerala Master Record","KAU; ICAR-IISR",https://kau.in,2016-2024,"Black pepper regional identification, soil classification, laboratory values, crop-problem risk, and climate",team_document_needs_independent_verification,"The source register must be expanded with a direct IISR document and page number."
TN-RICE-01,"Tamil Nadu","Thanjavur","Orathanadu / Thiruvaiyaru","Cauvery delta","Paddy","Oryza sativa","Rice blast (Magnaporthe oryzae)","Riverine / deltaic alluvium","","","Clay loam to heavy clay","","","Poor to moderate","High to very high","Not provided in document","Not provided","Not provided","5.5-6.5","Not provided","Not provided","Low to medium","Medium","High","The document states poor drainage and high humidity; exact EC, nutrient units, rainfall, and temperature values are blank","Highly suitable","High humidity, prolonged leaf wetness, excess nitrogen, and heavy clay water management","Not provided in document","AWD; field levelling and appropriate organic inputs are stated in the document","Not provided","Northeast monsoon (October-December)","Not provided","Not provided","Not provided","Not provided","Not provided","Verified Soil and Climate Data Matrix for Major Crops in Tamil Nadu","Tamil Nadu Agricultural University (TNAU)",https://agritech.tnau.ac.in,"2016-2024","Paddy soil profile, climate, constraints, and source verification","team_document_needs_independent_verification","Portal-level citation only; exact page is unavailable and several numeric fields are blank."
TN-COCONUT-01,"Tamil Nadu","Coimbatore; Pollachi; Tiruppur","Pollachi North / Pollachi South / Udumalpet","Coimbatore and western plantation belt","Coconut","Cocos nucifera","Root wilt / bud rot risk","Red sandy loam; laterite; alluvium","","","Light sandy loam to medium loam","","","Well drained","Good","Not provided in document","Not provided","Not provided","Not provided","Not provided","Not provided","Not provided","Not provided","Not provided","The document identifies sensitivity to high EC and high potassium requirement but provides no numeric laboratory values","Highly suitable","Poor drainage, high water table, heavy clay, and waterlogging","Not provided in document","Maintain drainage, moisture, and organic matter; avoid waterlogging","Not provided","Southwest and northeast monsoons","Not provided","Not provided","Not provided","Not provided","Not provided","Verified Soil and Climate Data Matrix for Major Crops in Tamil Nadu","TNAU / Department of Horticulture",https://agritech.tnau.ac.in,"2014-2024","Coconut soil and planting, climate, constraints, and source verification","team_document_needs_independent_verification","Numeric EC, nutrient, rainfall, and temperature values are not present."
TN-BANANA-01,"Tamil Nadu","Tiruchirappalli; Theni; Karur","Musiri / Lalgudi / Uthamapalayam","Canal-irrigated river basins","Banana","Musa spp.","Fusarium wilt / Sigatoka risk","Deep alluvial loam; clay loam; red sandy loam","","","Silty clay loam to sandy loam","","","Well drained","High with adequate drainage","Not provided in document","Not provided","Not provided","6.0-7.5","Not provided","High","Medium","Medium to high","High","The document states salinity sensitivity and waterlogging risk but leaves EC, rainfall, and temperature values blank","Highly suitable","Poor aeration, waterlogging, acidic soil, and wind exposure","Not provided in document","Use drainage trenches, uniform moisture, and non-chemical biological or crop-management measures","Not provided","Northeast and southwest monsoons","Not provided","Not provided","Not provided","Not provided","Not provided","Package of Practices for Horticultural Crops — Banana Advisory","ICAR-NRCB / TNAU",https://agritech.tnau.ac.in,"2023-2025","Banana soil and climate requirements, crop protection, and source verification","team_document_needs_independent_verification","The document names an ICAR source but gives no direct publication URL or page."
TN-TOMATO-01,"Tamil Nadu","Krishnagiri; Dharmapuri; Dindigul","Hosur / Denkanikottai / Palani","Elevated plateau and midland red-loam belt","Tomato","Solanum lycopersicum","Early blight (Alternaria solani) / bacterial wilt / blossom-end rot","Well-drained red loam; sandy loam; medium black soil","","","Sandy loam to clay loam","","","Well drained","Moderate to high","Not provided in document","Not provided","Not provided","6.0-7.0","Not provided","0.5-1.0","Medium","Medium to high","High","The document gives a medium organic-carbon and nutrient description but no full numeric laboratory record","Highly suitable","Humidity and temperature for early blight, poor drainage for bacterial wilt, calcium deficiency and moisture fluctuation for blossom-end rot","Not provided in document","Drip irrigation, mulch, staking, organic matter, and crop rotation","Not provided","Southwest and northeast monsoons","Not provided","Not provided","Not provided","Not provided","Not provided","TNAU Agritech Portal — Vegetable Crops: Tomato","IIHR / TNAU Horticulture",https://agritech.tnau.ac.in,"2024-2026","Tomato soil and climate, constraints, and source verification","team_document_needs_independent_verification","The document provides a portal citation but no direct page, complete weather ranges, or exact EC/nutrient evidence."
TN-POTATO-01,"Tamil Nadu","The Nilgiris; Dindigul","Udhagamandalam / Coonoor / Kodaikanal","High-altitude temperate hill ecosystems","Potato","Solanum tuberosum","Late blight (Phytophthora infestans)","Hilly laterite / acidic peaty red soil","","","Friable sandy loam to silt loam","","","Well drained","High","Not provided in document","Not provided","Not provided","5.0-6.2","Not provided","High","Medium","High","High","The document states high organic carbon and phosphorus fixation but does not provide complete numeric units","Highly suitable","Cool humid weather, persistent fog/dew, and poorly drained acidic soil","Not provided in document","High ridging, dehaulming when appropriate, and resistant cultivars","Not provided","Southwest and northeast monsoons","Not provided","Not provided","Not provided","Not provided","Not provided","Package of Practices for Hill Crops — Potato Advisory","ICAR-CPRI Regional Station Udhagamandalam / TNAU",https://agritech.tnau.ac.in,"2024-2026","Potato advisory, soil and climate, constraints, and source verification","team_document_needs_independent_verification","The document gives no direct CPRI publication URL or page and several numeric fields are blank."

