state,crop,problem,product_or_protocol,claimed_approval_category,claimed_status,regulatory_source,implementation_flag,verification_status
Karnataka,Ragi,Blast / neck blast,Tricyclazole 75% WP,State SAU/ICAR recommendation,"UAS Bengaluru PoP claim; CIBRC crop claim may primarily cover rice",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Show only as PoP advisory after local label check",needs_verification
Karnataka,Sugarcane,Sett rot / red rot,Carbendazim 50% WP,CIBRC and ICAR/SAU claim,"Document claims 0.1% sett dip",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Sett treatment status pending label confirmation",needs_verification
Karnataka,Sugarcane,Early shoot/top borer,Chlorantraniliprole 18.5% SC,CIBRC claim,"Document claims 150-250 ml/acre",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Chemical recommendation blocked until label checked",needs_verification
Karnataka,Rice,Bacterial leaf blight,Streptocycline plus Copper Oxychloride,SAU/ICAR protocol claim,"Antibiotic use and mixture status require current clearance",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Do not present as a label-approved tank mix",needs_verification
Kerala,Natural rubber,Abnormal leaf fall,1% Bordeaux mixture / copper fungicide,Rubber Board/KAU traditional-standard claim,"Document claims prophylactic pre-monsoon use",https://rubberboard.gov.in/,"Record tapping restriction separately",needs_verification
Kerala,Coconut,Bud rot,Copper Oxychloride 50% WP / Bordeaux paste,CIBRC/CPCRI/KAU claim,"Document claims crown application",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Confirm product and crown-use label",needs_verification
Kerala,Black pepper,Foot rot,Trichoderma / Metalaxyl-Mancozeb / Potassium Phosphonate,ICAR-IISR/KAU and CIBRC claims,"Document claims biological and chemical protocols",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Do not tank-mix bioagents and chemicals without label support",needs_verification
Tamil Nadu,Banana,Sigatoka,Propiconazole 25% EC,CIBRC/TNAU claim,"Document claims 200-300 ml/acre",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Confirm banana target and PHI",needs_verification
Tamil Nadu,Banana,Fusarium wilt,Carbendazim pseudostem protocol,TNAU protocol claim,"Document claims injection method",https://agritech.tnau.ac.in/,"Requires exact current technical protocol; do not use as generic spray advice",needs_verification
Tamil Nadu,Onion,Thrips,Fipronil 5% SC,CIBRC/TNAU claim,"Document claims 300-400 ml/acre",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Attach pollinator and aquatic warnings",needs_verification
Tamil Nadu,Onion,Purple blotch,Mancozeb 75% WP,CIBRC claim,"Document claims 500-600 g/acre",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Confirm current onion claim and PHI",needs_verification
Tamil Nadu,Rice,Yellow stem borer,Chlorantraniliprole 18.5% SC,CIBRC claim,"Document claims 60 ml/acre and 47-day PHI",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Exact major-use entry and label must be attached",needs_verification
Karnataka; Tamil Nadu; Kerala,Tomato,Early blight,Mancozeb 75% WP,CIBRC claim,"Document claims tomato approval and 2 g/L",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Do not mark approved until exact tomato entry is checked",needs_verification
Karnataka; Tamil Nadu; Punjab,Potato,Late blight,Mancozeb 75% WP,CIBRC claim,"Document claims potato approval and 2 g/L",https://ppqs.gov.in/divisions/central-insecticide-board-registration-committee/major-uses-of-pesticides,"Do not mark approved until exact potato entry is checked",needs_verification
